Jonathan Frakes
Jim Sheridan
Kevin Allen
Garry Marshall
Michael Cristofer
James McTeigue
Andrew Morahan
Bob Rafelson
Michael Cohn
David O. Russell
Alan Shapiro
Tarsem Singh
Fernando Meirelles
Mel Gibson
Pierre Morel
Michael Hoffman
Oleg Stepchenko
Michael Winterbottom
John A. Davis
Michael Pressman
Ethan Coen
Sharon Maguire
Charles Herman-Wurmfeld
Andy Fickman
George P. Cosmatos
Andrzej Bartkowiak
Gabor Csupo
Tyler Perry
Joe Carnahan
John Polson
Harald Zwart
Kirk Jones
Steve Oedekerk
Bernardo Bertolucci
Baltasar Kormákur
Paul Thomas Anderson
Cathy Malkasian
John Eng
Ken Kwapis
Chris Nahon
Fred Wolf
Bille Woodruff
Dennie Gordon
Victor Salva
Mark Helfrich
Stephen Daldry
Steve Bendelack
Dwight H. Little
Guillaume Canet
Kirsten Sheridan
Shekhar Kapur
Richard Fleischer
Bob Spiers
Damien Dante Wayans
Frank Darabont
Simon Wincer
John Wells
Tim Fywell
Nigel Cole
Dexter Fletcher
Spike Lee
Jeremy Leven
Sylvain White
Troy Nixey
Philip G. Atwell
Jeff Schaffer
Don Michael Paul
James Bridges
Steve Barron
Bill Paxton
Richard Kelly
Carter Smith
John Schlesinger
Luke Greenfield
Ringo Lam
Bruce McCulloch
Brian Helgeland
Akiva Schaffer
Alan Parker
Tobe Hooper
Robert Redford
Catherine Hardwicke
Patricia Riggen
Pascal Chaumeil
Ron Maxwell
Stephen Gaghan
Jonathan Kaplan
Ole Bornedal
Richard Benjamin
Rod Lurie
Craig R. Baxley
John Hillcoat
John Guillermin
Marcos Siega
J.B. Rogers
Rachel Talalay
Jeffrey W. Byrd
Uwe Boll
Roman Polanski
Atom Egoyan
Andrew Adamson
Robert Towne
Giuseppe Tornatore
Werner Herzog
Ben Stassen
Taylor Hackford
Inna Evlannikova
Jonathan English
Sergey Bondarchuk
Teddy Chan
Mario Van Peebles
Walter Salles
Leonard Nimoy
Sylvester Stallone
Jonathan Lynn
Herbert Ross
Todd Phillips
Danny Cannon
Bonnie Hunt
Kevin Smith
Neil LaBute
Grant Heslov
George Gallo
Robert Luketic
Tim Hill
Sidney Lumet
Brian Robbins
Ron Shelton
Douglas McGrath
Alexandre Aja
Kevin Spacey
Richard Williams
Mary McGuckian
George Tillman Jr.
Hayao Miyazaki
Frank Coraci
Irvin Kershner
David Zucker
Tony Goldwyn
John Dahl
Jonathan Newman
Wayne Wang
Michael Dinner
Joseph Sargent
Jerry Zaks
Fred Durst
Anne Fontaine
Jon Cassar
Mira Nair
Mel Brooks
Russell Crowe
Jerry Zucker
John Pasquin
John Lee Hancock
Irwin Winkler
Jessie Nelson
Christopher Spencer
Mike Bigelow
Ken Scott
Susanna White
Daniel Sackheim
Harry Elfont
Uli Edel
Fred Dekker
Brian Trenchard-Smith
Blake Edwards
Hugh Wilson
Laurence Dunmore
Christian Carion
David Palmer
Rowan Joffe
William Friedkin
John Curran
Scott Cooper
Mark Pellington
Trey Parker
Stuart Gillard
Katt Shea
Joshua Michael Stern
Tomas Alfredson
John Duigan
Colin Higgins
David Cronenberg
Jim Sonzero
Jonathan Demme
Penelope Spheeris
Jeff Tremaine
Jeannot Szwarc
D.J. Caruso
Keenen Ivory Wayans
Andrew Davis
Julie Anne Robinson
Steve McQueen
Thea Sharrock
Jon Lucas
Aaron Seltzer
Robin Budd
Ava DuVernay
Steve Trenbirth
Stephen Kay
Mennan Yapo
Jun Falkenstein
Jaume Collet-Serra
Boaz Yakin
Tom McCarthy
Takashi Shimizu
Kevin Rodney Sullivan
Gary Nelson
Anton Corbijn
Gregory Nava
John Patrick Shanley
John Luessenhop
Jon Amiel
Joshua Logan
Gus Van Sant
Steve Beck
Todd Strauss-Schulson
John McNaughton
Nelson McCormick
Eric Valette
Edgar Wright
Andrew Fleming
Michael Spierig
Jim Field Smith
Thomas Bezucha
William Brent Bell
Anthony Bell
Jessica Bendinger
Henry Joost
Ed Harris
Alfred Hitchcock
Shana Feste
Steve Rash
Mike Binder
Sean Penn
Michael J. Bassett
Frank Nissen
Stephen Chow
Peter Hastings
Alejandro G. Iñárritu
Paul Abascal
Chris Koch
Amy Heckerling
Michael Moore
George Stevens
Billy Ray
Mark Mylod
James Mather
Mark Neveldine
Michael O. Sajbel
Walter Hill
David Koepp
Charles T. Kanganis
Damon Santostefano
Bob Clark
Les Mayfield
Michael Lembeck
Bob Fosse
Dave Borthwick
Benson Lee
Glen Morgan
Mike Leigh
Alejandro Monteverde
Jonathan Glazer
J.C. Chandor
Paul Gross
Marc Abraham
Todd Haynes
Mabrouk El Mechri
Charlie Kaufman
Jean-Paul Rappeneau
Nancy Walker
Angelo Pizzo
Matthew Diamond
Angelina Jolie Pitt
Katsuhiro Ôtomo
David Anspaugh
Andrew Jarecki
Kevin Munroe
Daniel Algrant
Julie Taymor
Alejandro Amenábar
Jane Clark
Daniel Lee
Mike Barker
Wayne Thornley
Gnana Rajasekaran
Tom Walsh
Jonathan Jakubowicz
Scott Walker
Kevin Costner
Jake Kasdan
Harold Becker
Mark Rosman
Stanley Kubrick
William Malone
Rob Hawk
Josh Gordon
Britt Allcroft
Alan Yuen
Brian Percival
Sean Anders
Anand Tucker
Anthony Mann
Michael Dowse
Daniel Barnz
Emile Ardolino
Robert Altman
James Schamus
Andrew Douglas
George A. Romero
Danny Pang
Ricky Gervais
Penny Marshall
Larry Charles
Vic Armstrong
Terry Zwigoff
Milos Forman
Audrey Wells
Francis Ford Coppola
Rick Friedberg
Sean McNamara
Mike Nichols
Jody Hill
Brandon Camp
Kevin Tancharoen
Danny Boyle
Nicholas Hytner
Bart Freundlich
William A. Fraker
John Boorman
Courtney Solomon
Jeff Kanew
Adrian Lyne
Matthew Robbins
